,111_111_offered,111_111_answered,amb_sys_made,amb_sys_answered,gp_appt_attended,gp_appt_available,ae_attendances_attendances,population,People,Places,Lives,year,month,ccg
909,303.72516524756304,284.8613833948005,377.8755879050759,269.491339029736,4137.985028156189,4579.092746795739,366.3839833433666,74.2527,107.5,101.5222222222222,107.62222222222222,2018.0,Oct,D4U1Y
910,325.563999583354,286.5140136443389,381.0264266368633,266.7471426342751,3963.0656669925766,4443.690263115012,372.60597931119,74.2527,107.5,101.5222222222222,107.62222222222222,2018.0,Nov,D4U1Y
911,420.08934740176176,371.7341530178798,408.9185104102996,284.63940543263936,3118.135771493831,3391.1898153198467,378.2623392819385,74.2527,107.5,101.5222222222222,107.62222222222222,2018.0,Dec,D4U1Y
912,262.7286944049296,223.736616647865,1042.278015483099,798.7913259864913,4055.423269613583,4438.727418249055,188.5267019711056,160.3009,106.64375,99.86874999999998,106.71250000000003,2018.0,Jan,D9Y0V
913,266.60855076388304,235.66602431636088,958.1260693542572,728.1506469193647,3508.7763075566013,3865.62396093846,170.44820085227218,160.3009,106.64375,99.86874999999998,106.71250000000003,2018.0,Feb,D9Y0V
914,316.019594944775,278.9623415585863,1120.39937903925,864.8668693910852,3640.0107547743023,4057.637854809299,192.34452208315736,160.3009,106.64375,99.86874999999998,106.71250000000003,2018.0,Mar,D9Y0V
915,258.7597906380623,232.4016271479436,1043.6667374241383,743.1273608912373,3565.581977393764,3874.30763021293,189.03200169181832,160.3009,106.64375,99.86874999999998,106.71250000000003,2018.0,Apr,D9Y0V
916,294.8066113699472,264.27209018632004,1128.1792909078356,817.8421358185404,3679.973100587707,3996.75859586565,212.12607040883736,160.3009,106.64375,99.86874999999998,106.71250000000003,2018.0,May,D9Y0V
917,287.88285180729434,245.74069935521456,1095.4330740881878,802.6352469393132,3494.433045493929,3782.155932998504,204.1473254361017,160.3009,106.64375,99.86874999999998,106.71250000000003,2018.0,Jun,D9Y0V
918,335.59690643044956,275.21379713389194,1208.6561110159157,897.7435186582339,3576.6888433434797,3893.2969184826784,218.4828656607667,160.3009,106.64375,99.86874999999998,106.71250000000003,2018.0,Jul,D9Y0V
919,263.6577373112963,229.2229596946567,1106.1438797770884,805.5814857534522,3453.701501889481,3739.436272659729,202.08245867615216,160.3009,106.64375,99.86874999999998,106.71250000000003,2018.0,Aug,D9Y0V
920,287.88285180729434,245.74069935521456,1099.860104806308,799.9268555294408,3494.4330454939286,3796.628715122622,197.64081174840564,160.3009,106.64375,99.86874999999998,106.71250000000003,2018.0,Sep,D9Y0V
921,319.68054177461823,265.49521696081115,1133.626763715228,808.4740170892082,4296.032910617326,4668.57640849178,199.13175783791604,160.3009,106.64375,99.86874999999998,106.71250000000003,2018.0,Oct,D9Y0V
922,289.8323697925538,249.75308158640883,1143.07927991059,800.2414279028254,4269.483563804219,4640.4043894950055,196.5553530890968,160.3009,106.64375,99.86874999999998,106.71250000000003,2018.0,Nov,D9Y0V
923,318.67409128070193,274.54144743028746,1226.755531230899,853.918216297918,3344.953147487007,3679.124696118362,194.21600253024155,160.3009,106.64375,99.86874999999998,106.71250000000003,2018.0,Dec,D9Y0V
924,183.8215049664316,169.77995213588326,569.0398417087537,393.2556287734316,4490.395408433404,5048.605375182668,358.0913653980558,94.434,103.35,97.1,99.175,2018.0,Jan,M1J4Y
925,172.61791303979498,154.26647182158968,516.6211668314991,352.00790674931943,3933.159667069064,4467.077535633352,327.97509371624625,94.434,103.35,97.1,99.175,2018.0,Feb,M1J4Y
926,191.0752483215791,164.9829510557638,583.8552304409849,405.3071710908826,3972.287523561429,4613.211343372091,359.20325306563313,94.434,103.35,97.1,99.175,2018.0,Mar,M1J4Y
927,162.51561937437788,145.78435732892814,528.6059731636698,353.83093854234284,3834.244022280111,4292.881801046234,344.31454772645446,94.434,103.35,97.1,99.175,2018.0,Apr,M1J4Y
928,172.70262829065803,144.58775441048775,575.1795523545431,391.2909864750574,4116.049304276003,4547.747633267679,372.4188322002669,94.434,103.35,97.1,99.175,2018.0,May,M1J4Y
929,165.32181205921597,142.81932354872183,562.0341909612781,383.3022007249155,3853.7090681302107,4229.620687464261,361.0458097719042,94.434,103.35,97.1,99.175,2018.0,Jun,M1J4Y
930,178.1138149395345,147.95518563229345,618.9241768523142,424.8673256058487,3947.2600767815034,4360.304551326853,372.7788720164348,94.434,103.35,97.1,99.175,2018.0,Jul,M1J4Y
931,165.13120274477413,136.2644810131944,569.1309932984049,386.9287318274656,3758.0672222079725,4147.584556409768,334.6570091280683,94.434,103.35,97.1,99.175,2018.0,Aug,M1J4Y
932,161.24489061143234,135.55499078721647,563.2273001615335,382.392312535362,3759.271320105682,4134.792553529449,339.5281360526929,94.434,103.35,97.1,99.175,2018.0,Sep,M1J4Y
933,171.96136984560647,152.11682233094012,579.9877987086423,387.9037282953415,4501.965353834423,5068.174598132029,344.82283923163266,94.434,103.35,97.1,99.175,2018.0,Oct,M1J4Y
934,194.61211004511088,171.12480674333398,586.6711634784227,387.12080124851633,4416.285800912412,4898.362877777072,352.2460130885063,94.434,103.35,97.1,99.175,2018.0,Nov,M1J4Y
935,218.0146980960248,198.45606455302115,614.9672212372785,399.3286034339408,3565.1460279136754,4023.688502022577,359.63741872630624,94.434,103.35,97.1,99.175,2018.0,Dec,M1J4Y
936,215.69180269589515,193.15639840182394,574.9594496256835,435.8449644196277,4484.16196019459,4826.822574200971,244.68300831404235,49.8073,100.15,99.45,102.65,2018.0,Jan,M2L0M
937,281.571935973993,252.85885756544408,531.1550768783833,404.8486712721069,3897.380504464205,4227.372292816515,224.24423729051767,49.8073,100.15,99.45,102.65,2018.0,Feb,M2L0M
938,389.7200555227331,341.98146525910397,584.8367945338524,450.3818641922039,4071.9131532927904,4420.998528328177,250.5456027530101,49.8073,100.15,99.45,102.65,2018.0,Mar,M2L0M
939,304.83099303525916,264.57582461246494,506.7949468323714,383.9006113529656,3803.418374414996,4111.786826429057,253.63751899821915,49.8073,100.15,99.45,102.65,2018.0,Apr,M2L0M
940,232.61201611936912,198.82087771204118,554.4272179523878,424.2644325866939,3960.423472061325,4280.396648684028,288.57215709343814,49.8073,100.15,99.45,102.65,2018.0,May,M2L0M
941,258.34528035094564,233.80262582324727,540.6707081754399,417.7849171120444,3901.9033741131398,4217.052520413675,284.89799687997544,49.8073,100.15,99.45,102.65,2018.0,Jun,M2L0M
942,280.58695801843925,251.08099256575534,588.5735524691228,453.2413954170602,3910.3656275545354,4289.351159368205,301.40160177323406,49.8073,100.15,99.45,102.65,2018.0,Jul,M2L0M
943,238.5299800148523,209.55046654191338,534.7209464934431,411.7668001019635,3785.6990564875755,4137.345328897572,275.3612422275449,49.8073,100.15,99.45,102.65,2018.0,Aug,M2L0M
944,281.571935973993,252.85885756544408,541.9438261610082,416.23268153679874,3896.83342171618,4247.007968711414,267.9526896659727,49.8073,100.15,99.45,102.65,2018.0,Sep,M2L0M
945,323.73129509343363,292.2409578090767,552.8920712091632,418.6194217424059,4689.920519485867,5197.169892766723,275.019926797879,49.8073,100.15,99.45,102.65,2018.0,Oct,M2L0M
946,302.09251481965913,267.38816449954203,562.5842871037706,422.6523860993744,4471.796313276305,4969.331804775606,261.8692440666328,49.8073,100.15,99.45,102.65,2018.0,Nov,M2L0M
947,269.8172584591959,246.32281445270254,600.2623135715234,451.80878166596193,3506.2932542016933,3822.8733539059535,270.0206596221839,49.8073,100.15,99.45,102.65,2018.0,Dec,M2L0M
948,36.11107531977176,33.79656870815694,1490.2783214476833,1215.6063690934109,3868.2086530096462,4370.680880123351,583.4889302159554,209.5479,105.75555555555556,95.66666666666669,97.15555555555557,2018.0,Jan,W2U3Z
949,34.91803067460948,32.126306204929755,1395.0120121269667,1149.5180611851194,3445.651328407491,3926.7632841942095,520.1130624549328,209.5479,105.75555555555556,95.66666666666669,97.15555555555557,2018.0,Feb,W2U3Z
950,37.91018664467647,33.85860702970538,1553.3491444453637,1287.8553753608662,3638.805256459263,4185.095627300489,580.6084432246756,209.5479,105.75555555555556,95.66666666666669,97.15555555555557,2018.0,Mar,W2U3Z
951,32.30287681241377,31.281630596154866,1324.2717483148165,1082.27125460579,3445.808810300652,3870.9526556935193,546.0882213565491,209.5479,105.75555555555556,95.66666666666669,97.15555555555557,2018.0,Apr,W2U3Z
952,34.34059706635094,33.662947707898766,1453.161460925198,1197.8068003647477,3668.545473373869,4112.572829410364,582.761268425978,209.5479,105.75555555555556,95.66666666666669,97.15555555555557,2018.0,May,W2U3Z
953,30.422638451638026,30.03609198660545,1441.818950680848,1191.7808111533786,3487.8625171827616,3922.282208506981,564.5187568093023,209.5479,105.75555555555556,95.66666666666669,97.15555555555557,2018.0,Jun,W2U3Z
954,29.0005292346046,28.51853919795904,1560.4079037898289,1288.5199404899888,3542.849970560675,4018.0598326206086,573.2466896590231,209.5479,105.75555555555556,95.66666666666669,97.15555555555557,2018.0,Jul,W2U3Z
955,26.87213758763509,26.17062733627968,1368.411445742355,1121.6871512506457,3310.7819900394447,3667.567176764835,519.1448828644907,209.5479,105.75555555555556,95.66666666666669,97.15555555555557,2018.0,Aug,W2U3Z
956,28.35151294763632,27.59273655331311,1381.3704657602464,1146.7610139602457,3399.6086373513726,3794.712330689069,538.9209817898437,209.5479,105.75555555555556,95.66666666666669,97.15555555555557,2018.0,Sep,W2U3Z
957,29.0005292346046,27.95542212544244,1424.3067614674812,1158.579496526805,3997.2698278119788,4706.546808629435,549.6119980205003,209.5479,105.75555555555556,95.66666666666669,97.15555555555557,2018.0,Oct,W2U3Z
958,32.19311670505884,31.133693060154744,1449.964363817527,1179.046306381812,3910.434553845448,4469.779940529111,541.2673665543773,209.5479,105.75555555555556,95.66666666666669,97.15555555555557,2018.0,Nov,W2U3Z
959,41.02641925784033,38.931432860935374,1552.900113952713,1250.783417887646,3222.0318122968542,3679.4117240020064,549.3334936785336,209.5479,105.75555555555556,95.66666666666669,97.15555555555557,2018.0,Dec,W2U3Z
