icb_code,year,fx_asthma__qof_prevalence,fx_chd__qof_prevalence,fx_copd__qof_prevalence,fx_depression__qof_prevalence,fx_diabetes__qof_prevalence,fx_heart_failure__qof_prevalence,fx_hypertension__qof_prevalence,fx_obesity__qof_prevalence__new_definition,fx_deprivation_score__imd_2019
QMM,2024,7.93288,3.69612,2.31325,,8.49705,1.1194,17.52932,14.39119,21.7279230192054
QNC,2022,6.89935,3.48029,2.25281,14.47365,7.98733,1.10553,16.16918,,20.6381611082509
QNC,2023,6.94693,3.43697,2.24445,15.22571,8.2544,1.17875,16.75548,,20.6381611082509
QNC,2024,6.94727,3.43198,2.25585,,8.45819,1.27491,17.26687,14.28681,20.6381611082509
QNQ,2022,5.92397,2.62305,1.26054,11.82256,7.13763,0.87501,13.46615,,12.3247915814333
QNQ,2023,5.90361,2.62992,1.22427,12.45124,7.40647,0.91016,13.79584,,12.3247915814333
QNQ,2024,5.85702,2.64919,1.22106,,7.61895,0.94951,14.0379,12.63457,12.3247915814333
QOC,2022,7.1886,3.48271,1.92305,14.89001,7.46933,0.99446,15.84062,,19.9366247961692
QOC,2023,7.22125,3.47274,1.88722,15.58042,7.71458,1.0349,16.43208,,19.9366247961692
QOC,2024,7.19934,3.47175,1.88589,,7.86976,1.10818,17.10496,12.5567,19.9366247961692
QOP,2022,6.86288,3.04673,2.2277,14.79736,7.51494,0.89607,13.20424,,
QOP,2023,6.85967,2.98762,2.16272,15.91784,7.73763,0.93945,13.59854,,
QOP,2024,6.83887,2.94129,2.17546,,7.95163,0.9988,13.95812,14.1309,
QOQ,2022,7.02884,3.89891,2.33666,12.46476,7.3488,1.11366,16.01203,,
QOQ,2023,7.11646,3.86685,2.35811,13.0661,7.58217,1.14154,16.64754,,
QOQ,2024,7.14384,3.82258,2.41123,,7.85828,1.21674,17.19631,13.51208,
QOX,2022,7.07923,3.12239,1.68992,11.45357,7.11966,1.04511,14.60089,,14.2997731862178
QOX,2023,7.22298,3.12145,1.70524,11.75802,7.26879,1.09394,15.11756,,14.2997731862178
QOX,2024,7.21892,3.15809,1.77245,,7.41346,1.23649,15.54023,12.98564,14.2997731862178
QPM,2022,6.45917,2.87799,1.90623,14.47811,7.27705,0.96339,14.50616,,
QPM,2023,6.43545,2.82311,1.8975,14.83632,7.47797,0.96728,14.95966,,
QPM,2024,6.39809,2.77624,1.88861,,7.77761,1.01442,15.35128,12.50468,
QR1,2022,7.33015,3.30207,1.82015,11.90133,6.95127,1.03467,14.64563,,14.9321889488233
QR1,2023,7.42296,3.28759,1.82081,12.36958,7.25861,1.05402,15.56997,,14.9321889488233
QR1,2024,7.44937,3.29376,1.85229,,7.58784,1.10673,16.06805,11.84634,14.9321889488233
QRL,2022,6.98672,3.07317,1.94626,13.64983,6.94399,1.17244,14.82202,,17.2791652151318
QRL,2023,7.07703,3.06908,1.95795,14.35513,7.12575,1.22583,15.3369,,17.2791652151318
QRL,2024,7.0153,3.0652,2.02033,,7.32363,1.29968,15.81844,12.52625,17.2791652151318
QRV,2022,4.5253,2.00434,0.90201,7.38834,7.14066,0.5671,10.57089,,21.0262370471408
QRV,2023,4.46119,1.99564,0.86296,7.64387,7.18991,0.58205,10.87202,,21.0262370471408
QRV,2024,4.45173,2.00764,0.86365,,7.30248,0.61755,11.03104,10.87323,21.0262370471408
QSL,2022,7.172,3.79058,2.23623,15.35845,7.571,1.20398,17.07256,,18.5530165536374
QSL,2023,7.27194,3.78986,2.18686,16.14616,7.77616,1.28533,17.41925,,18.5530165536374
QSL,2024,7.30118,3.88149,2.22076,,8.00229,1.49401,18.1005,12.94178,18.5530165536374
QT1,2022,6.54501,3.12762,2.02677,12.00846,7.26849,1.02115,13.64843,,
QT1,2023,6.55315,3.06554,2.01159,12.45239,7.34322,1.06608,14.03679,,
QT1,2024,6.59634,3.01901,2.04839,,7.45211,1.12989,14.6196,13.09662,
QT6,2022,7.52733,4.3709,2.32425,12.69536,7.15445,1.6755,16.12802,,23.0249179451266
QT6,2023,7.73999,4.42359,2.39003,13.45245,7.31759,1.69508,16.85265,,23.0249179451266
QT6,2024,7.80907,4.52278,2.40886,,7.43989,1.75403,17.35593,12.66203,23.0249179451266
QU9,2022,6.26288,2.43766,1.28097,12.27679,5.80649,0.82318,13.05317,,11.2346519827963
QU9,2023,6.25748,2.44786,1.24789,12.82693,6.02901,0.87486,13.43675,,11.2346519827963
QU9,2024,6.24893,2.45865,1.23858,,6.21261,0.95213,13.78376,10.36283,11.2346519827963
QUA,2022,6.63391,3.5775,2.06887,13.07573,9.20132,0.9965,15.30999,,
QUA,2023,6.64703,3.53817,2.03232,13.73674,9.50731,1.056,15.55925,,
QUA,2024,6.6035,3.49102,2.00779,,9.71506,1.1269,15.80133,17.37493,
QUE,2022,6.41719,2.75184,1.70715,10.9475,6.38011,0.84818,12.67739,,
QUE,2023,6.44321,2.74487,1.68907,11.50386,6.5438,0.89895,13.00284,,
QUE,2024,6.46214,2.75919,1.70008,,6.75134,0.95137,13.44045,11.54858,
QUY,2022,6.71585,2.71764,1.75748,13.98057,6.2178,0.95224,12.51272,,19.6928713744339
QUY,2023,6.73299,2.71059,1.73476,14.6374,6.43231,1.00354,13.09217,,19.6928713744339
QUY,2024,6.71216,2.71656,1.76879,,6.55853,1.06361,13.41781,10.79628,19.6928713744339
QVV,2022,7.46574,4.20047,2.14633,12.50292,6.99516,1.33394,15.92474,,16.986336948387
